Ticker,Name,Exchange,ICB_Sector_L1,ICB_Sector_L2,ICB_Sector_L3,ICB_Sector_L4
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Tư vấn & Hỗ trợ Kinh doanh L3,Tư vấn & Hỗ trợ KD L4
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
ABT,Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
ACB,Ngân hàng Á Châu,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Lâm sản và Chế biến gỗ L4
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng L1,Truyền thông L2,Truyền thông L3,Dịch vụ truyền thông L4
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
AGG,Bất động sản An Gia,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
AGR,Agriseco,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
AMD,FLC Stone,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Công nghệ sinh học L4
APG,Chứng khoán APG,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Hàng công nghiệp L3,Containers & Đóng gói L4
ASG,Tập đoàn ASG,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
ATP,T.Mại và DV An Thành,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
BCE,XD và GT Bình Dương,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
BCG,Bamboo Capital,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Tài chính đặc biệt L4
BCM,Becamex IDC,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
BHN,HABECO,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Bia và đồ uống L3,Sản xuất bia L4
BIC,Bảo hiểm BIDV,HOSE,Tài chính L1,Bảo hiểm L2,Bảo hiểm phi nhân thọ L3,Bảo hiểm phi nhân thọ L4
BID,BIDV,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng cá nhân L4
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Khai khoáng L3,Khai khoáng L4
BMI,Bảo hiểm Bảo Minh,HOSE,Tài chính L1,Bảo hiểm L2,Bảo hiểm phi nhân thọ L3,Bảo hiểm phi nhân thọ L4
BMP,Nhựa Bình Minh,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
BRC,Cao su Bến Thành,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
BSI,Chứng khoán BIDV,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
BTP,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
BTT,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Bán lẻ phức hợp L4
BVH,Tập đoàn Bảo Việt,HOSE,Tài chính L1,Bảo hiểm L2,Bảo hiểm nhân thọ L3,Bảo hiểm nhân thọ L4
BWE,Nước - Môi trường Bình Dương,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Nước L4
C32,CIC39,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
C47,Xây dựng 47,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CAV,Dây cáp điện Việt Nam,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Điện tử & Thiết bị điện L3,Hàng điện & điện tử L4
CCI,CIDICO,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
CCL,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
CDC,Chương Dương Corp,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CHP,Thủy điện Miền Trung,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
CIG,Xây dựng COMA 18,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CII,Hạ tầng Kỹ thuật TP.HCM,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CKG,Xây dựng Kiên Giang,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,"Tư Vấn, Định giá, Môi giới Bất động sản L4"
CLC,Thuốc lá Cát Lợi,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Thuốc lá L3,Thuốc lá L4
CLL,Cảng Cát Lái,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
CLW,Cấp nước Chợ Lớn,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Nước L4
CMG,Tập đoàn Công nghệ CMC,HOSE,Công nghệ Thông tin L1,Công nghệ Thông tin L2,Phần mềm & Dịch vụ Máy tính L3,Dịch vụ Máy tính L4
CMV,Thương nghiệp Cà Mau,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Bán lẻ phức hợp L4
CMX,CAMIMEX Group,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
CNG,CNG Việt Nam,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
COM,Vật tư Xăng dầu,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
CRC,Create Capital Việt Nam,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
CRE,Bất động sản Thế Kỷ,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
CRV,Tập đoàn Bất động sản CRV,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,"Tư Vấn, Định giá, Môi giới Bất động sản L4"
CSM,Cao su Miền Nam,HOSE,Hàng Tiêu dùng L1,Ô tô và phụ tùng L2,Ô tô và phụ tùng L3,Lốp xe L4
CSV,Hóa chất Cơ bản miền Nam,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
CTD,Xây dựng Coteccons,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CTF,City Auto,HOSE,Hàng Tiêu dùng L1,Ô tô và phụ tùng L2,Ô tô và phụ tùng L3,Sản xuất ô tô L4
CTG,VietinBank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
CTI,Cường Thuận IDICO,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CTR,Công trình Viettel,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
CTS,Chứng khoán Vietinbank,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
CVT,CMC JSC,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
D2D,Phát triển Đô thị số 2,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
DAG,TĐ Nhựa Đông Á,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
DAH,Tập đoàn Khách sạn Đông Á,HOSE,Dịch vụ Tiêu dùng L1,Du lịch và Giải trí L2,Du lịch & Giải trí L3,Khách sạn L4
DAT,ĐT Du lịch và PT Thủy sản,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
DBC,Tập đoàn DABACO,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
DBD,Dược - TB Y tế Bình Định,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
DBT,Dược phẩm Bến Tre,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
DC4,Xây dựng DIC Holdings,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
DCL,Dược phẩm Cửu Long,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
DCM,Đạm Cà Mau,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
DGC,Hóa chất Đức Giang,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
DGW,Thế Giới Số,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
DHA,Hóa An,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
DHC,Đông Hải Bến Tre,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Sản xuất giấy L4
DHG,Dược Hậu Giang,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
DHM,Khoáng sản Dương Hiếu,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Khai khoáng L3,Khai khoáng L4
DIG,DIC Corp,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
DLG,Đức Long Gia Lai,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Lâm sản và Chế biến gỗ L4
DMC,Dược phẩm DOMESCO,HOSE,Dược phẩm và Y tế L1,Y tế L2,Dược phẩm L3,Dược phẩm L4
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
DPM,Đạm Phú Mỹ,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
DQC,Bóng đèn Điện Quang,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng gia dụng L3,Thiết bị gia dụng L4
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng L1,Ô tô và phụ tùng L2,Ô tô và phụ tùng L3,Lốp xe L4
DRH,DRH Holdings,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng L1,Du lịch và Giải trí L2,Du lịch & Giải trí L3,Dịch vụ giải trí L4
DTA,BĐS Đệ Tam,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
DXG,Địa ốc Đất Xanh,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,"Tư Vấn, Định giá, Môi giới Bất động sản L4"
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
E1VFVN30,Quỹ ETF DCVFMVN30,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
EIB,Eximbank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
ELC,ELCOM,HOSE,Công nghệ Thông tin L1,Công nghệ Thông tin L2,Thiết bị và Phần cứng L3,Thiết bị viễn thông L4
EMC,Cơ điện Thủ Đức,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Điện tử & Thiết bị điện L3,Thiết bị điện L4
EVE,Everpia,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
EVF,Tài chính Điện lực,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Tài chính cá nhân L4
EVG,Tập đoàn Everland,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
FCM,Khoáng sản FECON,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
FCN,FECON CORP,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
FDC,FIDECO,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
FIR,Địa ốc First Real,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
FIT,Tập đoàn F.I.T,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Tài chính đặc biệt L4
FLC,Tập đoàn FLC,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
FMC,Thực phẩm Sao Ta,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
FPT,FPT Corp,HOSE,Công nghệ Thông tin L1,Công nghệ Thông tin L2,Phần mềm & Dịch vụ Máy tính L3,Phần mềm L4
FRT,Bán lẻ FPT,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
FTS,Chứng khoán FPT,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
FUCTVGF3,Quỹ Đầu tư Tăng trưởng Thiên Việt 3,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUCTVGF4,Quỹ Đầu tư Tăng trưởng Thiên Việt 4,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUCVREIT,Quỹ đầu tư BĐS Techcom Việt Nam,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEDCMID,Quỹ ETF DCVFMVNMIDCAP,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEIP100,ETF IPAAM VN100,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEKIV30,KIM GROWTH VN30 ETF,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEKIVFS,KIM GROWTH VNFINSELECT ETF,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEMAV30,Quỹ ETF MAFM VN30,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUESSV30,Quỹ ETF SSIAM VN30,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUESSV50,Quỹ ETF SSIAM VNX50,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUESSVFL,Quỹ ETF SSIAM VNFIN LEAD,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEVFVND,Quỹ ETF DCVFMVN DIAMOND,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
FUEVN100,Quỹ ETF VINACAPITAL VN100,HOSE,Tài chính L1,Dịch vụ tài chính L2,Quỹ đầu tư L3,Quỹ đầu tư L4
GAB,Đầu tư Khai khoáng và Quản lý Tài sản FLC,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
GAS,PV Gas,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
GDA,Tôn Đông Á,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
GDT,Gỗ Đức Thành,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng gia dụng L3,Thiết bị gia dụng L4
GEG,Điện Gia Lai,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
GEX,Tập đoàn Gelex,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Điện tử & Thiết bị điện L3,Thiết bị điện L4
GIL,XNK Bình Thạnh,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
GMC,Garmex Sài Gòn,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng cá nhân L3,Hàng May mặc L4
GMD,Gemadept,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
GMH,Minh Hưng Quảng Trị,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Vật liệu xây dựng & Nội thất L4
GSP,Gas Shipping,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Vận tải Thủy L4
GTA,Gỗ Thuận An,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Lâm sản và Chế biến gỗ L4
GVR,Tập đoàn CN Cao su VN,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
HAG,Hoàng Anh Gia Lai,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Nuôi trồng nông & hải sản L4
HAH,Vận tải và Xếp dỡ Hải An,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
HAI,Nông Dược HAI,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
HAP,Tập đoàn Hapaco,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Sản xuất giấy L4
HAR,BĐS An Dương Thảo Điền,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
HAS,Hacisco,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
HAX,Ô tô Hàng Xanh,HOSE,Hàng Tiêu dùng L1,Ô tô và phụ tùng L2,Ô tô và phụ tùng L3,Sản xuất ô tô L4
HBC,Tập đoàn Xây dựng Hòa Bình,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
HCD,SX và Thương mại HCD,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
HCM,Chứng khoán TP.HCM,HOSE,Tài chính L1,Dịch vụ tài chính L2,Dịch vụ tài chính L3,Môi giới chứng khoán L4
HDB,HDBank,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
HDC,Phát triển Nhà BR-VT,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
HDG,Tập đoàn Hà Đô,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
