Ticker,Name,Exchange,ICB_Sector_L1,ICB_Sector_L2,ICB_Sector_L3,ICB_Sector_L4
PSH,TMại ĐT Dầu khí Nam Sông Hậu,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
PTB,Công ty Cổ phần Phú Tài,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Lâm sản và Chế biến gỗ L4
PTC,Đầu tư ICAPITAL,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
PTL,Victory Capital,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
PVD,Khoan Dầu khí PVDrilling,HOSE,Dầu khí L1,Dầu khí L2,"Thiết bị, Dịch vụ và Phân phối Dầu khí L3",Thiết bị và Dịch vụ Dầu khí L4
PVT,Vận tải Dầu khí PVTrans,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Vận tải Thủy L4
QBS,Xuất nhập khẩu Quảng Bình,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
QCG,Quốc Cường Gia Lai,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
RAL,Bóng đèn Phích nước Rạng Đông,HOSE,Hàng Tiêu dùng L1,Hàng cá nhân & Gia dụng L2,Hàng gia dụng L3,Thiết bị gia dụng L4
RDP,Nhựa Rạng Đông,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Nhựa, cao su & sợi L4"
REE,Cơ Điện Lạnh REE,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Công nghiệp nặng L3,Máy công nghiệp L4
S4A,Thủy điện Sê San 4A,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
SAB,SABECO,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Bia và đồ uống L3,Sản xuất bia L4
SAM,SAM Holdings,HOSE,Công nghệ Thông tin L1,Công nghệ Thông tin L2,Thiết bị và Phần cứng L3,Thiết bị viễn thông L4
